img_name,mask_name,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_1_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.4201760,-0.3457773,0.5335785,-0.3824886,-0.4962205,-0.9821348,-0.0128738,0.0039969,5.5240310,-7.0007525,-2.7475266,0.1611047,0.0016967,0.0017905,0.0010368,0.0070108,0.0065830,0.0025279,0.1533392,0.1698615,0.0730804,0.4716296,0.4662979,0.1635940,90.1736282,-31.6800141,19.1252826
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_1_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.4126699,-0.3233023,0.5358178,-0.3488861,-0.4661016,-0.9950536,-0.0017903,-0.0003776,0.8044845,-0.3712328,-0.5949317,0.2133226,0.0004918,0.0004583,0.0002234,0.0067777,0.0061848,0.0023099,0.2490622,0.2819676,0.0971518,2.0095673,2.1854950,0.6804996,90.2252804,-28.9512738,17.8137014
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_1_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.4372652,-0.3453054,0.5300879,-0.3915547,-0.4924524,-0.9807867,-0.0142090,-0.0104185,5.9384569,-12.1787145,4.3349471,0.0416943,0.0017966,0.0019102,0.0004754,0.0072413,0.0068062,0.0023510,0.1596998,0.1766936,0.0959557,0.4774113,0.4717275,0.3569464,90.0930128,-32.2200024,18.9966429
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_1_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.2879395,-0.2046567,0.5383649,-0.3148982,-0.4358140,-0.9847777,0.0067676,-0.0033115,4.7985161,5.5122278,1.0248715,0.1451380,0.0016786,0.0011637,0.0005999,0.0069783,0.0062754,0.0023853,0.1028862,0.1489466,0.0811811,0.3510522,0.6022710,0.2517324,90.2839723,-26.2318530,16.5157821
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_1_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,0.0602567,-0.2980843,0.5358178,-0.3488861,-0.4661016,-0.9822255,-0.0059264,-0.0116860,5.4165883,-5.7064667,5.2464374,0.0876013,0.0017579,0.0016209,0.0003542,0.0072900,0.0066790,0.0024047,0.1380271,0.1805129,0.1137818,0.4388729,0.5447847,0.5487509,90.2252804,-28.9512738,17.8137014
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_2_bkgd_voronoi_blue.png,../../../../images/masks/obj_mask.png,0.2012026,-0.3508204,0.4956898,-0.5495378,-0.6123092,-0.9267549,-0.0654727,-0.0210823,15.8461513,-25.1220206,1.2964827,0.1551259,0.0067230,0.0075348,0.0026168,0.0131549,0.0143295,0.0036340,0.5638192,0.6472474,0.1863372,0.9089787,1.0311030,0.2458651,89.2919497,-45.7661488,24.8138923
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_2_bkgd_voronoi_diff_dist.png,../../../../images/masks/obj_mask.png,0.2667650,-0.3233062,0.5033983,-0.4126254,-0.5088197,-0.9912219,-0.0041166,-0.0009175,2.0394713,-1.8057662,-0.6779129,0.2840334,0.0008595,0.0008316,0.0003853,0.0076701,0.0072384,0.0024459,0.4141357,0.4789151,0.1653266,2.2633310,2.5331782,0.7245943,89.4725256,-34.3332399,19.9842813
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_2_bkgd_voronoi_green.png,../../../../images/masks/obj_mask.png,0.1874565,-0.3508288,0.5161696,-0.5684488,-0.6423421,-0.9257798,-0.0666079,-0.0569407,16.6562631,-35.1523894,14.8951746,0.0109067,0.0067530,0.0075854,0.0011057,0.0132957,0.0144930,0.0026027,0.5364650,0.6077877,0.2212823,0.8971711,1.0116739,0.4151545,89.7703442,-47.2284125,25.9475612
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_2_bkgd_voronoi_red.png,../../../../images/masks/obj_mask.png,-0.3387203,-0.2148690,0.4959165,-0.5172297,-0.5930776,-0.9532008,0.0179625,-0.0203898,12.4912316,8.8735153,5.7228862,0.1388294,0.0051055,0.0036183,0.0013993,0.0103957,0.0094313,0.0028468,0.2892008,0.4099932,0.1846149,0.5353757,0.9150976,0.3096187,89.2972680,-43.1543889,23.9068583
mitsuba_comp_rmc_rsd_illum_1_rg_1_by_1_ld_2_bkgd_voronoi_yellow.png,../../../../images/masks/obj_mask.png,-0.1665575,-0.3152371,0.5140549,-0.5127584,-0.5906618,-0.9357378,-0.0384441,-0.0539801,15.1908536,-21.4150978,16.1267965,0.0417567,0.0061035,0.0061793,0.0007631,0.0120045,0.0125549,0.0024245,0.4385376,0.6011978,0.2412728,0.7361208,1.0165903,0.5758708,89.7211478,-42.4045632,23.5589756
