sub_id,trial,img,illum,body,highlow,l,a,b,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,wpL,wpA,wpB
fg,1,1,blue,blue,1,71.8698,-34.7639,-12.5288,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,87.8532,-22.386,-19.0047
fg,2,1,blue,blue,1,70.3517,-31.4918,-16.1352,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,87.8532,-22.386,-19.0047
fg,3,1,blue,blue,1,69.4634,-32.7525,-10.8925,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,87.8532,-22.386,-19.0047
fg,4,1,blue,blue,1,71.8222,-31.2234,-7.3152,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,87.8532,-22.386,-19.0047
fg,5,1,blue,blue,1,76.885,2.9661,-6.0632,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,87.8532,-22.386,-19.0047
fg,1,2,blue,green,1,71.4189,-39.9549,0.62654,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,88.0339,-42.0154,-19.0007
fg,2,2,blue,green,1,73.2483,-37.6827,-1.5536,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,88.0339,-42.0154,-19.0007
fg,3,2,blue,green,1,70.4599,-37.0984,-8.1008,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,88.0339,-42.0154,-19.0007
fg,4,2,blue,green,1,77.5559,-11.3527,-0.72471,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,88.0339,-42.0154,-19.0007
fg,5,2,blue,green,1,68.3692,-27.5206,3.2368,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,88.0339,-42.0154,-19.0007
fg,1,3,blue,red,1,78.7826,28.1357,-9.2537,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,90.3711,29.3737,-14.2181
fg,2,3,blue,red,1,80.0165,17.7153,0.096272,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,90.3711,29.3737,-14.2181
fg,3,3,blue,red,1,75.8083,12.6187,-0.0095654,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,90.3711,29.3737,-14.2181
fg,4,3,blue,red,1,64.8265,27.6108,40.8606,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,90.3711,29.3737,-14.2181
fg,5,3,blue,red,1,72.8749,33.7682,-11.3688,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,90.3711,29.3737,-14.2181
fg,1,4,blue,yellow,1,67.4619,-1.4361,30.0929,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,89.9077,-14.9186,26.9077
fg,2,4,blue,yellow,1,79.9152,6.1432,-2.8594,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,89.9077,-14.9186,26.9077
fg,3,4,blue,yellow,1,75.4472,1.9277,28.0632,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,89.9077,-14.9186,26.9077
fg,4,4,blue,yellow,1,75.3714,3.327,6.4483,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,89.9077,-14.9186,26.9077
fg,5,4,blue,yellow,1,73.1393,13.5677,25.7811,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,89.9077,-14.9186,26.9077
fg,1,13,yellow,blue,1,68.7508,-39.589,22.9889,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,90.1599,-4.6578,-2.2174
fg,2,13,yellow,blue,1,66.9115,-37.8986,-5.5552,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,90.1599,-4.6578,-2.2174
fg,3,13,yellow,blue,1,75.8291,-0.59899,6.8632,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,90.1599,-4.6578,-2.2174
fg,4,13,yellow,blue,1,69.3158,-50.3023,11.6445,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,90.1599,-4.6578,-2.2174
fg,5,13,yellow,blue,1,73.146,-6.9628,10.8932,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,90.1599,-4.6578,-2.2174
fg,1,14,yellow,green,1,75.7897,-46.9086,11.6943,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,89.7511,-17.7542,4.9187
fg,2,14,yellow,green,1,77.8033,-50.2138,21.3171,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,89.7511,-17.7542,4.9187
fg,3,14,yellow,green,1,70.858,-43.1213,32.0628,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,89.7511,-17.7542,4.9187
