sub_id,trial,img,illum,body,highlow,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
02,1,1,blue,blue,1,39.3890757,-6.1836986,-15.1226135,46.6590160,-7.6334743,-15.9416299,0.2523683,0.2863003,0.3577798,0.2517841,0.2855055,0.3568021,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,0.22077,0.2783,0.27592,0.35237,0.47817,0.38104,87.8532,-22.386,-19.0047
02,2,1,blue,blue,1,8.8951353,-6.1805070,-5.6712161,12.1108887,-7.7109064,-6.0053266,0.0222940,0.0265717,0.0302656,0.0222879,0.0265704,0.0302232,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,0.22077,0.2783,0.27592,0.35237,0.47817,0.38104,87.8532,-22.386,-19.0047
02,3,1,blue,blue,1,44.5135750,-7.6250482,-14.0087972,52.4598686,-9.2891483,-14.6007554,0.3293981,0.3711780,0.4375904,0.3288096,0.3704464,0.4365841,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,0.22077,0.2783,0.27592,0.35237,0.47817,0.38104,87.8532,-22.386,-19.0047
02,4,1,blue,blue,1,32.9867273,1.3234970,-14.2990415,39.4108027,0.9740981,-15.1345204,0.1784720,0.1915926,0.2549487,0.1779584,0.1908176,0.2540883,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,0.22077,0.2783,0.27592,0.35237,0.47817,0.38104,87.8532,-22.386,-19.0047
02,5,1,blue,blue,1,26.1793519,5.4232468,-11.7313546,31.7118850,5.7296823,-12.3814422,0.1161140,0.1182661,0.1595266,0.1158308,0.1177810,0.1590339,0.073286,-0.28816,0.43521,-0.57346,0.58234,-0.91682,-0.015598,0.053206,18.011,2.1913,-10.0075,0.24795,0.0085628,0.0075114,0.0063514,0.013002,0.011915,0.0091612,0.22077,0.2783,0.27592,0.35237,0.47817,0.38104,87.8532,-22.386,-19.0047
02,1,2,blue,green,1,53.5171985,-26.8736843,-7.2248463,62.6641962,-31.1497451,-6.8446944,0.4838568,0.5831696,0.5387080,0.4838485,0.5838193,0.5386060,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,0.16081,0.22317,0.16194,0.29271,0.43662,0.27416,88.0339,-42.0154,-19.0007
02,2,2,blue,green,1,9.2857132,-5.5335038,0.8582375,12.5753881,-6.7223547,1.4288215,0.0239525,0.0262411,0.0202974,0.0239999,0.0263249,0.0203521,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,0.16081,0.22317,0.16194,0.29271,0.43662,0.27416,88.0339,-42.0154,-19.0007
02,3,2,blue,green,1,21.3919281,-18.5748111,-9.6771112,26.3056217,-21.5648603,-10.1648289,0.0731993,0.0957875,0.1074170,0.0730889,0.0957198,0.1072232,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,0.16081,0.22317,0.16194,0.29271,0.43662,0.27416,88.0339,-42.0154,-19.0007
02,4,2,blue,green,1,23.7010771,-3.6719463,-9.3240773,28.9152347,-4.5854382,-9.7287536,0.0935141,0.1039822,0.1242531,0.0933638,0.1037854,0.1239993,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,0.16081,0.22317,0.16194,0.29271,0.43662,0.27416,88.0339,-42.0154,-19.0007
02,5,2,blue,green,1,15.6119435,-4.0087113,-9.8602281,19.7606216,-4.9411694,-10.4706655,0.0466476,0.0539264,0.0705229,0.0465380,0.0537786,0.0703053,0.17851,-0.31503,0.44272,-0.87712,0.58413,-0.93783,-0.029205,0.012869,14.3521,-8.3039,-3.315,0.32865,0.0061164,0.00592,0.00357,0.010966,0.011082,0.0067261,0.16081,0.22317,0.16194,0.29271,0.43662,0.27416,88.0339,-42.0154,-19.0007
02,1,3,blue,red,1,55.7961087,30.6211682,-8.9894679,65.2291957,34.2104249,-8.7579942,0.6115505,0.5051369,0.6198905,0.6111953,0.5036972,0.6184988,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,0.28034,0.2223,0.18288,0.4571,0.39738,0.29663,90.3711,29.3737,-14.2181
02,2,3,blue,red,1,50.9602922,28.8914142,-14.3047773,59.7473371,32.2227291,-14.8055368,0.4937032,0.4183557,0.5794908,0.4929111,0.4164097,0.5777259,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,0.28034,0.2223,0.18288,0.4571,0.39738,0.29663,90.3711,29.3737,-14.2181
02,3,3,blue,red,1,62.5306222,18.7714686,-12.4683685,72.8467282,20.6523303,-12.5403942,0.7711292,0.7150178,0.8549951,0.7703829,0.7133084,0.8531406,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,0.28034,0.2223,0.18288,0.4571,0.39738,0.29663,90.3711,29.3737,-14.2181
02,4,3,blue,red,1,30.7837366,13.9041902,-10.6780303,36.9248180,15.3562940,-11.1105803,0.1640007,0.1506738,0.2019283,0.1637448,0.1501047,0.2013441,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,0.28034,0.2223,0.18288,0.4571,0.39738,0.29663,90.3711,29.3737,-14.2181
02,5,3,blue,red,1,21.4303358,16.2545856,-5.8394219,26.3470569,18.1496134,-5.8544181,0.0866156,0.0719066,0.0923641,0.0865524,0.0716683,0.0921237,-0.37744,-0.17441,0.54215,0.43463,0.44455,-0.9065,0.1066,-0.012888,19.6268,26.7807,3.0542,0.10465,0.011214,0.0058701,0.0040387,0.016701,0.0099081,0.0071969,0.28034,0.2223,0.18288,0.4571,0.39738,0.29663,90.3711,29.3737,-14.2181
02,1,4,blue,yellow,1,48.6846673,25.4909365,5.3426611,57.2041292,28.5588304,7.1575852,0.4496854,0.3573184,0.3151730,0.4503886,0.3578065,0.3155044,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,0.29416,0.28774,0.15923,0.45827,0.4835,0.25549,89.9077,-14.9186,26.9077
02,2,4,blue,yellow,1,34.9385480,9.9447866,2.2717909,41.6478559,10.9744951,3.4632618,0.2113727,0.1896467,0.1645601,0.2116829,0.1899656,0.1647350,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,0.29416,0.28774,0.15923,0.45827,0.4835,0.25549,89.9077,-14.9186,26.9077
02,3,4,blue,yellow,1,50.1149937,13.5236551,-13.2404184,58.7959691,14.7613641,-13.6333593,0.4559766,0.4360284,0.5449828,0.4553228,0.4347332,0.5436370,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,0.29416,0.28774,0.15923,0.45827,0.4835,0.25549,89.9077,-14.9186,26.9077
02,4,4,blue,yellow,1,32.7011923,-1.7963515,5.6266266,39.1222831,-2.3129237,7.1698715,0.1781517,0.1763285,0.1255375,0.1785488,0.1769762,0.1259281,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,0.29416,0.28774,0.15923,0.45827,0.4835,0.25549,89.9077,-14.9186,26.9077
02,5,4,blue,yellow,1,32.9223921,2.4964495,-1.2232954,39.3619962,2.4907106,-0.4890584,0.1818758,0.1785772,0.1647579,0.1820212,0.1787598,0.1648011,-0.30628,-0.21977,0.52208,-0.044276,-0.6643,-0.89543,0.058835,-0.038617,20.9295,13.1155,7.9009,0.21369,0.011675,0.0077247,0.003437,0.016638,0.011898,0.0061727,0.29416,0.28774,0.15923,0.45827,0.4835,0.25549,89.9077,-14.9186,26.9077
02,1,13,yellow,blue,1,63.4161112,-26.2766476,-1.4638936,73.8753144,-30.4380318,-0.2187786,0.7316229,0.8452045,0.6937369,0.7323435,0.8471627,0.6944783,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,0.22356,0.27957,0.26831,0.38012,0.49717,0.36333,90.1599,-4.6578,-2.2174
02,2,13,yellow,blue,1,26.3525635,-10.8760769,-3.8744579,31.9270785,-12.7102110,-3.5778479,0.1117109,0.1276870,0.1194343,0.1117524,0.1278498,0.1194189,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,0.22356,0.27957,0.26831,0.38012,0.49717,0.36333,90.1599,-4.6578,-2.2174
02,3,13,yellow,blue,1,72.8447810,-25.1123746,11.9108235,84.5632690,-28.9969623,14.9100172,1.0409639,1.1406743,0.7327890,1.0435475,1.1456857,0.7359160,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,0.22356,0.27957,0.26831,0.38012,0.49717,0.36333,90.1599,-4.6578,-2.2174
02,4,13,yellow,blue,1,20.1037640,0.4581813,-4.8393190,24.8512052,0.2159564,-4.7669405,0.0721165,0.0742618,0.0796201,0.0720959,0.0742113,0.0795292,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,0.22356,0.27957,0.26831,0.38012,0.49717,0.36333,90.1599,-4.6578,-2.2174
02,5,13,yellow,blue,1,16.4058216,2.3656567,-2.6663356,20.6679170,2.4366162,-2.4031429,0.0528734,0.0521553,0.0528535,0.0528861,0.0521586,0.0528464,0.066318,-0.25476,0.53298,-0.10733,0.064747,-0.912,0.02006,-0.0093579,18.6282,5.5966,0.80001,0.60897,0.0094574,0.0071203,0.0038841,0.014354,0.011417,0.0061955,0.22356,0.27957,0.26831,0.38012,0.49717,0.36333,90.1599,-4.6578,-2.2174
02,1,14,yellow,green,1,45.8786256,-23.5380079,-7.9250677,54.0178741,-27.3189231,-7.7650130,0.3409735,0.4126372,0.3955264,0.3408873,0.4129646,0.3952710,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,0.15715,0.21982,0.15553,0.30514,0.44628,0.25108,89.7511,-17.7542,4.9187
02,2,14,yellow,green,1,28.3402393,-17.3616251,-0.0336898,34.1838578,-20.0420234,0.7544256,0.1263221,0.1486906,0.1169468,0.1265083,0.1491465,0.1171743,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,0.15715,0.21982,0.15553,0.30514,0.44628,0.25108,89.7511,-17.7542,4.9187
02,3,14,yellow,green,1,38.1187915,-15.0533831,-1.8022656,45.2455475,-17.5133285,-1.0464031,0.2331915,0.2648714,0.2254648,0.2333969,0.2654113,0.2256238,0.17945,-0.2839,0.51534,-0.26872,-0.13704,-0.93648,-0.0055613,-0.021183,14.5577,-4.3377,4.3079,0.61933,0.0065286,0.0055144,0.0021673,0.011733,0.010466,0.0043687,0.15715,0.21982,0.15553,0.30514,0.44628,0.25108,89.7511,-17.7542,4.9187
