img_name,mask_name,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
mitsuba_caustics_rgb_trans_illum_blue_refl_munsell_blue_lighter.png,../masks/obj_mask.png,0.0732860,-0.2881567,0.4352106,-0.5734648,0.5823425,-0.9168181,-0.0155977,0.0532064,18.0110338,2.1912580,-10.0075298,0.2479499,0.0085628,0.0075114,0.0063514,0.0130021,0.0119153,0.0091612,0.2207726,0.2782992,0.2759207,0.3523663,0.4781712,0.3810421,87.8531973,-22.3859704,-19.0047447
mitsuba_caustics_rgb_trans_illum_blue_refl_munsell_green_lighter.png,../masks/obj_mask.png,0.1785077,-0.3150290,0.4427169,-0.8771200,0.5841309,-0.9378334,-0.0292047,0.0128689,14.3520808,-8.3038579,-3.3149530,0.3286538,0.0061164,0.0059200,0.0035700,0.0109659,0.0110824,0.0067261,0.1608054,0.2231691,0.1619411,0.2927149,0.4366166,0.2741633,88.0339351,-42.0153677,-19.0007195
mitsuba_caustics_rgb_trans_illum_blue_refl_munsell_red_lighter.png,../masks/obj_mask.png,-0.3774373,-0.1744067,0.5421492,0.4346299,0.4445472,-0.9065036,0.1065988,-0.0128880,19.6267700,26.7806929,3.0541950,0.1046477,0.0112143,0.0058701,0.0040387,0.0167008,0.0099081,0.0071969,0.2803359,0.2222956,0.1828827,0.4571031,0.3973760,0.2966326,90.3710525,29.3737217,-14.2180812
mitsuba_caustics_rgb_trans_illum_blue_refl_munsell_yellow_lighter.png,../masks/obj_mask.png,-0.3062809,-0.2197697,0.5220826,-0.0442761,-0.6642994,-0.8954337,0.0588355,-0.0386167,20.9295264,13.1154941,7.9009138,0.2136879,0.0116751,0.0077247,0.0034370,0.0166380,0.0118981,0.0061727,0.2941584,0.2877441,0.1592311,0.4582702,0.4835021,0.2554913,89.9076652,-14.9185883,26.9076634
mitsuba_caustics_rgb_trans_illum_green_refl_munsell_blue_lighter.png,../masks/obj_mask.png,0.1282725,-0.1980105,0.4731245,0.5001539,0.5115663,-0.9015819,0.0962426,-0.0086716,19.7764705,22.4427565,0.7890353,0.1705682,0.0115931,0.0065032,0.0044565,0.0170270,0.0102753,0.0072393,0.2436369,0.2873356,0.2831047,0.4573143,0.5472841,0.3951161,88.7597544,34.4371245,-16.6318183
mitsuba_caustics_rgb_trans_illum_green_refl_munsell_green_lighter.png,../masks/obj_mask.png,0.2201217,-0.2208252,0.5241745,0.4750458,0.0149280,-0.9330172,0.0494884,-0.0193177,14.9901321,12.0980754,3.7504374,0.3066800,0.0076493,0.0047227,0.0024427,0.0132959,0.0089118,0.0050294,0.1635019,0.2118213,0.1609948,0.3493033,0.4630005,0.2688371,89.9561619,24.5970204,-0.5179904
mitsuba_caustics_rgb_trans_illum_green_refl_munsell_red_lighter.png,../masks/obj_mask.png,-0.3247030,-0.1267688,0.2699136,0.7185188,0.2214525,-0.8737235,0.2365345,-0.0842944,23.9518269,41.2795616,17.5314141,0.0216370,0.0163115,0.0059902,0.0025918,0.0201916,0.0084250,0.0046609,0.3295888,0.2671040,0.1734578,0.5576757,0.4559500,0.2545123,83.7025010,43.7772138,-8.2962453
mitsuba_caustics_rgb_trans_illum_green_refl_munsell_yellow_lighter.png,../masks/obj_mask.png,-0.2814763,-0.1516715,0.3480593,0.6564152,-0.0856612,-0.8677338,0.2006529,-0.0986583,24.1509425,33.4058121,19.9373247,0.0250118,0.0164224,0.0071920,0.0022423,0.0211752,0.0102334,0.0040921,0.3358320,0.3177286,0.1529409,0.5823391,0.5547092,0.2241088,85.7070345,34.0994085,3.2966809
mitsuba_caustics_rgb_trans_illum_red_refl_munsell_blue_lighter.png,../masks/obj_mask.png,0.0217513,-0.2616308,0.5266929,-0.1823634,0.0325321,-0.9137615,0.0106353,-0.0093621,18.2990660,3.2990815,0.8837468,0.6920796,0.0091441,0.0071565,0.0037939,0.0142106,0.0116913,0.0062010,0.2205369,0.2707053,0.2602429,0.3761116,0.4874498,0.3587440,90.0144883,-9.4511396,-1.1238768
mitsuba_caustics_rgb_trans_illum_red_refl_munsell_green_lighter.png,../masks/obj_mask.png,0.1837346,-0.2905367,0.5152620,-0.3693872,-0.1591778,-0.9362045,-0.0111748,-0.0220397,14.6044906,-6.2874047,4.5517331,0.5574005,0.0064793,0.0056482,0.0021409,0.0115436,0.0105191,0.0042939,0.1597150,0.2181104,0.1535044,0.2993711,0.4282796,0.2433651,89.7492343,-24.1986456,5.7395184
