sub_id,trial,img,img_name,illum,rg,by,lighter_darker,bkgd,mean_ld,mean_rg,mean_yv,mean_l,mean_a,mean_b,mean_cone_l,mean_cone_m,mean_cone_s,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB,ld,rg_mix,by_mix,qualityc
02,1,1,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green.png,red,1,2,lighter,voronoi_green,-0.7698492,-0.1082936,-0.0086375,40.0141065,-23.1459353,0.9651267,0.0225530,0.0218333,0.0107713,47.3948663,-26.6858104,2.0788399,0.2541338,0.3002799,0.2282259,0.2544942,0.3011919,0.2286827,0.18779,-0.3472,0.5208,0.077882,-0.48648,-0.92295,-0.06532,-0.050555,17.8507,-34.5269,12.7911,0.018687,0.0070766,0.0078121,0.0015215,0.013113,0.013782,0.0030329,0.60042,0.7353,0.37481,0.86122,1.0497,0.56831,89.8778,-4.6547,18.8289,0.37843,0,0.33917,4
02,2,1,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green.png,red,1,2,lighter,voronoi_green,-0.6020030,-0.1846039,-0.0351860,51.2332824,-28.4476057,2.9386933,0.0390054,0.0376720,0.0177480,60.0955245,-32.7588089,4.4868420,0.4395244,0.5181134,0.3760529,0.4402966,0.5199397,0.3770052,0.18779,-0.3472,0.5208,0.077882,-0.48648,-0.92295,-0.06532,-0.050555,17.8507,-34.5269,12.7911,0.018687,0.0070766,0.0078121,0.0015215,0.013113,0.013782,0.0030329,0.60042,0.7353,0.37481,0.86122,1.0497,0.56831,89.8778,-4.6547,18.8289,0.48777,0,0.33083,4
02,3,1,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green.png,red,1,2,lighter,voronoi_green,-0.7768355,-0.0884966,-0.0341862,39.4409367,-21.0726330,4.3622045,0.0220545,0.0208035,0.0093306,46.7513624,-24.2748825,5.8687885,0.2485160,0.2861161,0.1976998,0.2490430,0.2872471,0.1983461,0.18779,-0.3472,0.5208,0.077882,-0.48648,-0.92295,-0.06532,-0.050555,17.8507,-34.5269,12.7911,0.018687,0.0070766,0.0078121,0.0015215,0.013113,0.013782,0.0030329,0.60042,0.7353,0.37481,0.86122,1.0497,0.56831,89.8778,-4.6547,18.8289,0.35579,0,0.15917,4
02,4,1,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green.png,red,1,2,lighter,voronoi_green,-0.9080222,-0.0445437,0.0052355,25.2594319,-16.3469551,-1.2320459,0.0090094,0.0087640,0.0046815,30.6943254,-18.8803657,-0.6428999,0.1015205,0.1205335,0.0991937,0.1016268,0.1208240,0.0993081,0.18779,-0.3472,0.5208,0.077882,-0.48648,-0.92295,-0.06532,-0.050555,17.8507,-34.5269,12.7911,0.018687,0.0070766,0.0078121,0.0015215,0.013113,0.013782,0.0030329,0.60042,0.7353,0.37481,0.86122,1.0497,0.56831,89.8778,-4.6547,18.8289,0.24764,0,0.3575,3
02,1,2,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green_brighter.png,red,1,2,lighter,voronoi_green_brighter,-0.7660832,-0.1101947,-0.0088345,40.3178760,-23.3049733,0.9771867,0.0229202,0.0221931,0.0109450,47.7391030,-26.8705938,2.0969403,0.2582712,0.3052274,0.2319078,0.2586577,0.3061950,0.2323937,0.088591,-0.34964,0.55359,-0.039668,-0.53774,-0.87287,-0.11252,-0.090386,25.8446,-48.5453,19.1468,0.014825,0.0116,0.012973,0.0022052,0.01513,0.016205,0.0032215,0.68139,0.83291,0.38667,0.80322,0.99232,0.48225,90.6334,-12.0446,20.7234,0.38148,0,0.34083,4
02,2,2,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green_brighter.png,red,1,2,lighter,voronoi_green_brighter,-0.6338585,-0.1647690,-0.0379498,49.3893385,-27.1249979,3.3873806,0.0359441,0.0345478,0.0160874,58.0081417,-31.2340606,4.9561730,0.4050288,0.4751462,0.3408668,0.4057698,0.4768560,0.3417422,0.088591,-0.34964,0.55359,-0.039668,-0.53774,-0.87287,-0.11252,-0.090386,25.8446,-48.5453,19.1468,0.014825,0.0116,0.012973,0.0022052,0.01513,0.016205,0.0032215,0.68139,0.83291,0.38667,0.80322,0.99232,0.48225,90.6334,-12.0446,20.7234,0.46499,0,0.2975,3
02,3,2,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green_brighter.png,red,1,2,lighter,voronoi_green_brighter,-0.7849343,-0.1138290,0.0134559,38.7629004,-23.9448426,-1.7850090,0.0209352,0.0206859,0.0109947,45.9755165,-27.6294152,-1.0202335,0.2359037,0.2844991,0.2329601,0.2361203,0.2851814,0.2332017,0.088591,-0.34964,0.55359,-0.039668,-0.53774,-0.87287,-0.11252,-0.090386,25.8446,-48.5453,19.1468,0.014825,0.0116,0.012973,0.0022052,0.01513,0.016205,0.0032215,0.68139,0.83291,0.38667,0.80322,0.99232,0.48225,90.6334,-12.0446,20.7234,0.37939,0,0.4675,3
02,4,2,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_2_ld_2_bkgd_voronoi_green_brighter.png,red,1,2,lighter,voronoi_green_brighter,-0.8070346,-0.0946919,0.0016632,36.8187321,-22.0607611,-0.3221651,0.0188697,0.0183967,0.0094160,43.7767162,-25.4502426,0.5798414,0.2126286,0.2530146,0.1995111,0.2128682,0.2536977,0.1998057,0.088591,-0.34964,0.55359,-0.039668,-0.53774,-0.87287,-0.11252,-0.090386,25.8446,-48.5453,19.1468,0.014825,0.0116,0.012973,0.0022052,0.01513,0.016205,0.0032215,0.68139,0.83291,0.38667,0.80322,0.99232,0.48225,90.6334,-12.0446,20.7234,0.35253,0,0.3825,4
02,1,3,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red.png,red,1,4,lighter,voronoi_red,-0.9385350,0.0178537,0.0478344,20.0747528,14.1672002,-11.7876583,0.0067439,0.0049811,0.0050771,24.8010186,15.7243754,-12.5540507,0.0759926,0.0685067,0.1075756,0.0757503,0.0680266,0.1071549,-0.16492,-0.27462,0.50625,-0.37725,-0.073328,-0.94969,-0.010709,0.035454,13.6605,5.1997,-11.0196,0.18377,0.0051667,0.0045734,0.0039831,0.010883,0.010996,0.0060034,0.34082,0.68323,0.70676,0.51533,1.1526,0.80379,89.5392,-23.0364,2.6091,0.26956,0.9125,0.99917,4
02,2,3,mitsuba_comp_rmc_rsd_illum_3_rg_1_by_4_ld_2_bkgd_voronoi_red.png,red,1,4,lighter,voronoi_red,-0.9203796,0.0192092,0.0594542,23.3249206,13.8959205,-12.4074307,0.0086782,0.0065262,0.0064659,28.4786283,15.3769562,-13.1895022,0.0977887,0.0897571,0.1370021,0.0974856,0.0891808,0.1364818,-0.16492,-0.27462,0.50625,-0.37725,-0.073328,-0.94969,-0.010709,0.035454,13.6605,5.1997,-11.0196,0.18377,0.0051667,0.0045734,0.0039831,0.010883,0.010996,0.0060034,0.34082,0.68323,0.70676,0.51533,1.1526,0.80379,89.5392,-23.0364,2.6091,0.30406,0.8776,0.99833,4
