sub_id,trial,img,illum,rg,by,lighter_darker,bkgd,mean_l,mean_a,mean_b,max_l,max_a,max_b,mean_ratio_l,mean_ratio_m,mean_ratio_s,std_ratio_l,std_ratio_m,std_ratio_s,lrc,redness,wpld,wprg,wpyv,gwld,gwrg,gwyv,gwl,gwa,gwb,hv,mean_cone_l,mean_cone_m,mean_cone_s,sd_cone_l,sd_cone_m,sd_cone_s,rmc_l,rmc_m,rmc_s,rsd_l,rsd_m,rsd_s,wpL,wpA,wpB
02,1,1,red,1,2,lighter,voronoi_green,40.0141065,-23.1459353,0.9651267,47.3948663,-26.6858104,2.0788399,0.2541338,0.3002799,0.2282259,0.2544942,0.3011919,0.2286827,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
02,2,1,red,1,2,lighter,voronoi_green,51.2332824,-28.4476057,2.9386933,60.0955245,-32.7588089,4.4868420,0.4395244,0.5181134,0.3760529,0.4402966,0.5199397,0.3770052,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
02,3,1,red,1,2,lighter,voronoi_green,39.4409367,-21.0726330,4.3622045,46.7513624,-24.2748825,5.8687885,0.2485160,0.2861161,0.1976998,0.2490430,0.2872471,0.1983461,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
02,4,1,red,1,2,lighter,voronoi_green,25.2594319,-16.3469551,-1.2320459,30.6943254,-18.8803657,-0.6428999,0.1015205,0.1205335,0.0991937,0.1016268,0.1208240,0.0993081,0.23821,-0.3476,0.5208,0.077882,-0.48648,-0.93213,-0.05759,-0.044478,15.8444,-30.8237,11.3851,0.023273,0.0062325,0.0068822,0.0013424,0.012457,0.013112,0.0028739,0.47881,0.58704,0.29919,0.8018,0.98108,0.52748,89.8778,-4.6547,18.8289
02,1,2,red,1,2,lighter,voronoi_green_brighter,40.3178760,-23.3049733,0.9771867,47.7391030,-26.8705938,2.0969403,0.2582712,0.3052274,0.2319078,0.2586577,0.3061950,0.2323937,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
02,2,2,red,1,2,lighter,voronoi_green_brighter,49.3893385,-27.1249979,3.3873806,58.0081417,-31.2340606,4.9561730,0.4050288,0.4751462,0.3408668,0.4057698,0.4768560,0.3417422,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
02,3,2,red,1,2,lighter,voronoi_green_brighter,38.7629004,-23.9448426,-1.7850090,45.9755165,-27.6294152,-1.0202335,0.2359037,0.2844991,0.2329601,0.2361203,0.2851814,0.2332017,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
02,4,2,red,1,2,lighter,voronoi_green_brighter,36.8187321,-22.0607611,-0.3221651,43.7767162,-25.4502426,0.5798414,0.2126286,0.2530146,0.1995111,0.2128682,0.2536977,0.1998057,0.13811,-0.34988,0.55359,-0.039668,-0.53774,-0.88519,-0.10191,-0.082056,23.617,-44.9818,17.7869,0.017743,0.010471,0.011721,0.0019728,0.0147,0.015811,0.0030783,0.56317,0.69208,0.31357,0.77206,0.96507,0.45356,90.6334,-12.0446,20.7234
02,1,3,red,1,4,lighter,voronoi_red,20.0747528,14.1672002,-11.7876583,24.8010186,15.7243754,-12.5540507,0.0759926,0.0685067,0.1075756,0.0757503,0.0680266,0.1071549,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
02,2,3,red,1,4,lighter,voronoi_red,23.3249206,13.8959205,-12.4074307,28.4786283,15.3769562,-13.1895022,0.0977887,0.0897571,0.1370021,0.0974856,0.0891808,0.1364818,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
02,3,3,red,1,4,lighter,voronoi_red,22.7113257,14.9566789,-12.2211327,27.7856402,16.5955297,-12.9880604,0.0938706,0.0845904,0.1307636,0.0936218,0.0840693,0.1302877,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
02,4,3,red,1,4,lighter,voronoi_red,23.1316987,16.0872062,-11.8281975,28.2617070,17.8770783,-12.5394324,0.0975231,0.0862351,0.1324226,0.0972692,0.0857121,0.1319393,-0.047942,-0.27352,0.50625,-0.37725,-0.073328,-0.96528,-0.0070242,0.025847,9.6537,4.3606,-8.8558,0.16825,0.0035727,0.003151,0.0028089,0.0091551,0.0091888,0.005171,0.18429,0.36992,0.39486,0.4121,0.90917,0.65707,89.5392,-23.0364,2.6091
02,1,4,red,1,4,lighter,voronoi_red_brighter,22.2034442,11.8231062,-12.2968991,27.2102618,13.0317197,-13.0862951,0.0888752,0.0837445,0.1267573,0.0885976,0.0832182,0.1262831,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
02,2,4,red,1,4,lighter,voronoi_red_brighter,22.2937744,10.2410236,-12.4300160,27.3127102,11.2335951,-13.2324999,0.0887892,0.0856395,0.1281289,0.0885393,0.0851562,0.1276651,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
02,3,4,red,1,4,lighter,voronoi_red_brighter,28.7445440,13.4053097,-13.3155075,34.6104430,14.7755532,-14.1054751,0.1427974,0.1341245,0.1963939,0.1424227,0.1333893,0.1956972,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
02,4,4,red,1,4,lighter,voronoi_red_brighter,25.9096317,17.0249547,-12.1386978,31.4036226,18.9272268,-12.8376170,0.1198037,0.1057563,0.1596152,0.1194904,0.1051022,0.1590324,-0.11596,-0.29396,0.53822,-0.11731,-0.11325,-0.94322,-0.024184,0.051512,14.3063,2.2351,-13.6851,0.13865,0.0056828,0.0054188,0.0049891,0.011144,0.011687,0.0068257,0.21674,0.44164,0.44729,0.44389,0.94295,0.65175,90.2807,-8.4966,4.0038
